timestamp,detection_time,instance_id,instance_name,vote_count,proxy_ip,session_id,cooldown_message,failure_type
2025-10-24T14:53:54.116050,2025-10-24 14:53:54,16,Instance_16,15585,119.13.239.143,a3pvfdgk4d,Someone has already voted out of this IP address: 77.83.68.24 Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T15:21:14.373393,2025-10-24 15:21:14,18,Instance_18,15605,119.13.238.105,xht06kj9ls,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T15:29:23.841597,2025-10-24 15:29:23,10,Instance_10,15608,77.83.69.212,w7gfpgsxwj,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T15:46:19.853855,2025-10-24 15:46:19,18,Instance_18,15615,119.13.238.105,xht06kj9ls,Someone has already voted out of this IP address: 77.83.69.157 Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T16:13:08.715385,2025-10-24 16:13:08,11,Instance_11,15626,43.225.188.228,099u1zm9yi,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T16:16:26.535036,2025-10-24 16:16:26,21,Instance_21,15631,119.13.237.40,3ip6wbars9,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T16:20:08.772406,2025-10-24 16:20:08,27,Instance_27,15635,77.83.69.170,j9fdqbu9lg,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T16:21:04.612878,2025-10-24 16:21:04,13,Instance_13,15635,77.83.68.155,r3jkd8wbc0,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T16:23:43.142783,2025-10-24 16:23:43,12,Instance_12,15636,119.13.236.158,hw17xcwmw2,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T16:24:19.214027,2025-10-24 16:24:19,14,Instance_14,15636,119.13.230.249,ufu5uv5oq3,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T16:28:11.267045,2025-10-24 16:28:11,15,Instance_15,15639,119.13.225.121,sk8ejydo14,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T16:29:29.585377,2025-10-24 16:29:29,6,Instance_6,15640,119.13.239.221,s10ygevrbu,Someone has already voted out of this IP address: 91.197.253.183 Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T16:33:15.200326,2025-10-24 16:33:15,7,Instance_7,15641,77.83.69.107,mfvhp6muil,Someone has already voted out of this IP address: 119.13.231.88 Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T16:46:56.062274,2025-10-24 16:46:56,20,Instance_20,15650,77.83.69.247,ki7o5fzy7g,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T16:48:36.667028,2025-10-24 16:48:36,22,Instance_22,15651,119.13.231.88,sxcw1auxrv,Someone has already voted out of this IP address: 119.13.230.191 Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T17:03:09.867698,2025-10-24 17:03:09,1,Instance_1,15657,43.225.188.139,mve0b3kzew,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T17:04:43.209493,2025-10-24 17:04:43,2,Instance_2,15660,43.225.188.232,hentb7pxq9,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T17:16:04.828446,2025-10-24 17:16:04,32,Instance_32,15673,119.13.236.150,wpmk8cv24f,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T17:18:29.558452,2025-10-24 17:18:29,3,Instance_3,15674,91.197.254.163,3b4e9sznwe,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T17:20:40.307894,2025-10-24 17:20:40,27,Instance_27,15677,77.83.69.170,j9fdqbu9lg,Someone has already voted out of this IP address: 43.225.188.247 Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T17:26:01.487294,2025-10-24 17:26:01,22,Instance_22,15678,119.13.231.88,sxcw1auxrv,Someone has already voted out of this IP address: 119.13.236.38 Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T17:41:04.480210,2025-10-24 17:41:04,2,Instance_2,15689,43.225.188.232,hentb7pxq9,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T17:41:27.124325,2025-10-24 17:41:27,21,Instance_21,15689,119.13.237.40,3ip6wbars9,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T18:12:51.209186,2025-10-24 18:12:51,24,Instance_24,15712,119.13.226.173,118h593fqk,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T18:13:03.585787,2025-10-24 18:13:03,18,Instance_18,15713,119.13.238.105,xht06kj9ls,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T18:13:44.754681,2025-10-24 18:13:44,9,Instance_9,15714,43.225.188.171,82shyhp3e5,Someone has already voted out of this IP address: 119.13.226.156 Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T18:25:41.024078,2025-10-24 18:25:41,21,Instance_21,15716,119.13.237.40,3ip6wbars9,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T18:26:27.077539,2025-10-24 18:26:27,8,Instance_8,15716,119.13.225.239,r0zej1xxo6,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T18:34:26.978867,2025-10-24 18:34:26,22,Instance_22,15717,119.13.231.88,sxcw1auxrv,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T19:10:00.300230,2025-10-24 19:10:00,25,Instance_25,15735,43.225.188.75,mk21b8riv1,Someone has already voted out of this IP address: 119.13.227.188 Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T19:11:34.825250,2025-10-24 19:11:34,23,Instance_23,15737,119.13.239.19,f6sv919o8p,Someone has already voted out of this IP address: 119.13.226.237 Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T19:12:07.976244,2025-10-24 19:12:07,13,Instance_13,15739,77.83.68.155,r3jkd8wbc0,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T19:12:34.828279,2025-10-24 19:12:34,15,Instance_15,15739,119.13.225.121,sk8ejydo14,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T19:12:55.822182,2025-10-24 19:12:55,27,Instance_27,15740,77.83.69.170,j9fdqbu9lg,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T19:13:17.710502,2025-10-24 19:13:17,4,Instance_4,15740,119.13.233.164,au80g1m03x,Someone has already voted out of this IP address: 119.13.227.188 Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T19:15:39.652782,2025-10-24 19:15:39,17,Instance_17,15743,119.13.233.58,3dp6uog0i4,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T19:16:25.489253,2025-10-24 19:16:25,9,Instance_9,15744,43.225.188.171,82shyhp3e5,Someone has already voted out of this IP address: 77.83.68.236 Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T19:20:42.090560,2025-10-24 19:20:42,32,Instance_32,15744,119.13.236.150,wpmk8cv24f,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T19:22:28.807181,2025-10-24 19:22:28,8,Instance_8,15744,119.13.225.239,r0zej1xxo6,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T19:43:31.697527,2025-10-24 19:43:31,23,Instance_23,15758,119.13.239.19,f6sv919o8p,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T19:43:38.174445,2025-10-24 19:43:38,27,Instance_27,15760,77.83.69.170,j9fdqbu9lg,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T20:01:19.428797,2025-10-24 20:01:19,10,Instance_10,15761,77.83.69.212,w7gfpgsxwj,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T20:03:39.823297,2025-10-24 20:03:39,24,Instance_24,15763,119.13.226.173,118h593fqk,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T20:06:48.697755,2025-10-24 20:06:48,9,Instance_9,15768,43.225.188.171,82shyhp3e5,Someone has already voted out of this IP address: 119.13.233.164 Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T20:11:08.009915,2025-10-24 20:11:08,2,Instance_2,15772,43.225.188.232,hentb7pxq9,Someone has already voted out of this IP address: 77.83.69.123 Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T20:11:59.774561,2025-10-24 20:11:59,8,Instance_8,15775,119.13.225.239,r0zej1xxo6,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T20:13:27.054063,2025-10-24 20:13:27,19,Instance_19,15777,119.13.224.217,6sjh6aj3nd,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T20:14:30.203745,2025-10-24 20:14:30,27,Instance_27,15778,77.83.69.170,j9fdqbu9lg,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T20:16:17.243382,2025-10-24 20:16:17,34,Instance_34,15782,119.13.233.30,dfi9gcep3w,Someone has already voted out of this IP address: 119.13.237.80 Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T20:17:01.927777,2025-10-24 20:17:01,22,Instance_22,15783,119.13.231.88,sxcw1auxrv,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T20:21:34.727343,2025-10-24 20:21:34,18,Instance_18,15783,119.13.238.105,xht06kj9ls,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T20:23:25.990454,2025-10-24 20:23:25,4,Instance_4,15783,119.13.233.164,au80g1m03x,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T20:30:27.658258,2025-10-24 20:30:27,13,Instance_13,15783,77.83.68.155,r3jkd8wbc0,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T20:31:58.228577,2025-10-24 20:31:58,10,Instance_10,15783,77.83.69.212,w7gfpgsxwj,Someone has already voted out of this IP address: 119.13.238.173 Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T21:20:48.644444,2025-10-24 21:20:48,21,Instance_21,15810,119.13.237.40,3ip6wbars9,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T21:32:02.698346,2025-10-24 21:32:02,23,Instance_23,15816,119.13.239.19,f6sv919o8p,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
2025-10-24T21:32:04.410709,2025-10-24 21:32:04,17,Instance_17,15816,119.13.233.58,3dp6uog0i4,You have voted already! Please come back at your next voting time of 30 minutes.,instance_cooldown
