timestamp,instance_id,instance_name,time_of_click,status,voting_url,cooldown_message,failure_type,failure_reason,initial_vote_count,final_vote_count,vote_count_change,proxy_ip,session_id,click_attempts,error_message,browser_closed
2025-10-25T17:13:07.871926,1,Instance_1,2025-10-25T17:13:04.788107,success,https://www.cutebabyvote.com/october-2025/?contest=photo-detail&photo_id=463146,,,Vote count verified: +1,16256,16257,1,43.225.188.139,mve0b3kzew,1,,True
2025-10-25T17:13:08.249903,10,Instance_10,2025-10-25T17:13:05.186097,success,https://www.cutebabyvote.com/october-2025/?contest=photo-detail&photo_id=463146,,,Vote count verified: +1,16256,16257,1,77.83.69.212,w7gfpgsxwj,1,,True
2025-10-25T17:13:53.884518,11,Instance_11,2025-10-25T17:13:50.817707,success,https://www.cutebabyvote.com/october-2025/?contest=photo-detail&photo_id=463146,,,Vote count verified: +1,16257,16258,1,43.225.188.228,099u1zm9yi,1,,True
2025-10-25T17:14:27.013831,12,Instance_12,2025-10-25T17:14:23.929586,success,https://www.cutebabyvote.com/october-2025/?contest=photo-detail&photo_id=463146,,,Vote count verified: +1,16258,16259,1,119.13.236.158,hw17xcwmw2,1,,True
2025-10-25T17:15:09.922756,13,Instance_13,2025-10-25T17:15:06.738437,success,https://www.cutebabyvote.com/october-2025/?contest=photo-detail&photo_id=463146,,,Vote count verified: +1,16259,16260,1,77.83.68.155,r3jkd8wbc0,1,,True
2025-10-25T17:15:34.449133,14,Instance_14,2025-10-25T17:15:31.361495,success,https://www.cutebabyvote.com/october-2025/?contest=photo-detail&photo_id=463146,,,Vote count verified: +1,16260,16261,1,119.13.230.249,ufu5uv5oq3,1,,True
2025-10-25T17:16:16.359470,15,Instance_15,2025-10-25T17:16:13.223276,success,https://www.cutebabyvote.com/october-2025/?contest=photo-detail&photo_id=463146,,,Vote count verified: +1,16261,16262,1,119.13.225.121,sk8ejydo14,1,,True
2025-10-25T17:16:45.120057,16,Instance_16,2025-10-25T17:16:42.049118,success,https://www.cutebabyvote.com/october-2025/?contest=photo-detail&photo_id=463146,,,Vote count verified: +1,16262,16263,1,77.83.69.253,rcky0tzohj,1,,True
2025-10-25T17:17:19.871261,18,Instance_18,2025-10-25T17:17:16.790001,success,https://www.cutebabyvote.com/october-2025/?contest=photo-detail&photo_id=463146,,,Vote count verified: +1,16263,16264,1,119.13.238.105,xht06kj9ls,1,,True
2025-10-25T17:17:53.863150,19,Instance_19,2025-10-25T17:17:50.783994,success,https://www.cutebabyvote.com/october-2025/?contest=photo-detail&photo_id=463146,,,Vote count verified: +1,16264,16265,1,119.13.224.217,6sjh6aj3nd,1,,True
2025-10-25T17:18:21.371432,2,Instance_2,2025-10-25T17:18:18.284110,success,https://www.cutebabyvote.com/october-2025/?contest=photo-detail&photo_id=463146,,,Vote count verified: +1,16265,16266,1,43.225.188.232,hentb7pxq9,1,,True
2025-10-25T17:18:58.039213,20,Instance_20,2025-10-25T17:18:54.957635,success,https://www.cutebabyvote.com/october-2025/?contest=photo-detail&photo_id=463146,,,Vote count verified: +1,16266,16267,1,77.83.69.247,ki7o5fzy7g,1,,True
2025-10-25T17:20:32.664176,21,Instance_21,2025-10-25T17:20:29.499151,success,https://www.cutebabyvote.com/october-2025/?contest=photo-detail&photo_id=463146,,,Vote count verified: +1,16267,16268,1,119.13.237.40,3ip6wbars9,1,,True
2025-10-25T17:24:25.416565,22,Instance_22,2025-10-25T17:23:15.287807,failed,https://www.cutebabyvote.com/october-2025/?contest=photo-detail&photo_id=463146,,technical,Could not find vote button,,,,119.13.231.88,sxcw1auxrv,7,,False
2025-10-25T17:25:03.581815,23,Instance_23,2025-10-25T17:25:00.511151,success,https://www.cutebabyvote.com/october-2025/?contest=photo-detail&photo_id=463146,,,Vote count verified: +1,16268,16269,1,119.13.239.19,f6sv919o8p,1,,True
2025-10-25T17:25:03.641175,24,Instance_24,2025-10-25T17:25:00.568761,success,https://www.cutebabyvote.com/october-2025/?contest=photo-detail&photo_id=463146,,,Vote count verified: +1,16268,16269,1,119.13.226.173,118h593fqk,1,,True
2025-10-25T17:25:43.705818,25,Instance_25,2025-10-25T17:25:40.614881,success,https://www.cutebabyvote.com/october-2025/?contest=photo-detail&photo_id=463146,,,Vote count verified: +1,16269,16270,1,43.225.188.75,mk21b8riv1,1,,True
2025-10-25T17:26:22.129167,27,Instance_27,2025-10-25T17:26:19.039934,success,https://www.cutebabyvote.com/october-2025/?contest=photo-detail&photo_id=463146,,,Vote count verified: +1,16270,16271,1,77.83.69.170,j9fdqbu9lg,1,,True
2025-10-25T17:27:54.556613,3,Instance_3,2025-10-25T17:27:51.474497,success,https://www.cutebabyvote.com/october-2025/?contest=photo-detail&photo_id=463146,,,Vote count verified: +1,16271,16272,1,91.197.254.163,3b4e9sznwe,1,,True
2025-10-25T17:28:45.587008,34,Instance_34,2025-10-25T17:28:42.498942,success,https://www.cutebabyvote.com/october-2025/?contest=photo-detail&photo_id=463146,,,Vote count verified: +1,16272,16273,1,119.13.233.30,dfi9gcep3w,1,,True
2025-10-25T17:28:57.073582,32,Instance_32,2025-10-25T17:28:53.980995,success,https://www.cutebabyvote.com/october-2025/?contest=photo-detail&photo_id=463146,,,Vote count verified: +1,16272,16273,1,119.13.236.150,wpmk8cv24f,1,,True
2025-10-25T17:30:29.713837,5,Instance_5,2025-10-25T17:30:26.622100,success,https://www.cutebabyvote.com/october-2025/?contest=photo-detail&photo_id=463146,,,Vote count verified: +1,16274,16275,1,77.83.69.80,ioxp5o4qg1,1,,True
